stac_id,classe,roi_pct,roi_geo,path_geo,recorte,status
CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052,urbano,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}","{""x_min"": 0, ""y_min"": 0, ""x_max"": 25194, ""y_max"": 25092}",data/raw/capella/CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052.tif,output/recortes/urbano/recorte_CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052.tif,ok
CAPELLA_C06_SP_GEO_VV_20220324132714_20220324132738,,,,,,geo_nao_encontrada
CAPELLA_C13_SP_GEO_HH_20241113132634_20241113132642,urbano,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}","{""x_min"": 0, ""y_min"": 0, ""x_max"": 21857, ""y_max"": 21769}",data/raw/capella/CAPELLA_C13_SP_GEO_HH_20241113132634_20241113132642.tif,output/recortes/urbano/recorte_CAPELLA_C13_SP_GEO_HH_20241113132634_20241113132642.tif,ok
CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603,urbano,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}","{""x_min"": 0, ""y_min"": 0, ""x_max"": 37043, ""y_max"": 34043}",data/raw/capella/CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603.tif,output/recortes/urbano/recorte_CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603.tif,ok
CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532,militar,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}","{""x_min"": 0, ""y_min"": 0, ""x_max"": 31806, ""y_max"": 33519}",data/raw/capella/CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532.tif,output/recortes/militar/recorte_CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532.tif,ok
CAPELLA_C03_SP_GEO_VV_20221011145414_20221011145436,,,,,,geo_nao_encontrada
CAPELLA_C13_SP_GEO_HH_20241211094727_20241211094738,militar,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}","{""x_min"": 0, ""y_min"": 0, ""x_max"": 32648, ""y_max"": 33934}",data/raw/capella/CAPELLA_C13_SP_GEO_HH_20241211094727_20241211094738.tif,output/recortes/militar/recorte_CAPELLA_C13_SP_GEO_HH_20241211094727_20241211094738.tif,ok
CAPELLA_C13_SP_GEO_HH_20250830031430_20250830031509,militar,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}","{""x_min"": 0, ""y_min"": 0, ""x_max"": 44660, ""y_max"": 44814}",data/raw/capella/CAPELLA_C13_SP_GEO_HH_20250830031430_20250830031509.tif,output/recortes/militar/recorte_CAPELLA_C13_SP_GEO_HH_20250830031430_20250830031509.tif,ok
CAPELLA_C09_SP_GEO_HH_20240319095913_20240319095945,,,,,,geo_nao_encontrada
CAPELLA_C08_SP_GEO_HH_20230215231844_20230215231908,,,,,,geo_nao_encontrada
